round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-2,Servant-2,Servant-1,Servant-4,Minion-1,Servant-3
1,0.5,0.5,0.0,0.5,0.5,0.5
2,0.27100205421447754,0.6036321520805359,0.0,0.39672890305519104,0.39201799035072327,0.6032710671424866
3,0.3270479440689087,0.5101308226585388,0.0,0.8346626162528992,0.4827245771884918,0.4898691773414612
3,0.5931601524353027,0.4068398177623749,0.0,0.6177238821983337,0.0663970410823822,0.18002381920814514
3,0.1394123136997223,0.5101308226585388,0.0,0.62724769115448,0.23726347088813782,0.4898691475391388
3,0.14434626698493958,0.2576758861541748,0.0,0.828993558883667,0.244675874710083,0.7423241138458252
3,0.1394123136997223,0.5101308226585388,0.0,0.62724769115448,0.23726347088813782,0.4898691475391388
4,0.8784103393554688,0.12833158671855927,0.0,0.18516549468040466,0.8148345351219177,0.11259764432907104
4,0.3536838889122009,0.6602829694747925,0.0,0.4053739607334137,0.5946260094642639,0.27570536732673645
4,0.621454656124115,0.569897472858429,0.0,0.1463940143585205,0.43010249733924866,0.08739136904478073
4,0.621454656124115,0.569897472858429,0.0,0.1463940143585205,0.43010249733924866,0.08739136904478073
4,0.5533695220947266,0.4466305375099182,0.0,0.6068419814109802,0.16877424716949463,0.4102382957935333
