round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-2,Servant-2,Servant-1,Servant-4,Minion-1,Servant-3
1,0.5,0.5,0.5,0.5,0.5,0.0
2,0.3657004237174988,0.6036320328712463,0.3702527582645416,0.404742956161499,0.595257043838501,0.0
3,0.23121455311775208,0.6683402061462402,0.47951802611351013,0.5204819440841675,0.3660900294780731,0.0
3,0.3270479440689087,0.6729520559310913,0.7538945078849792,0.1522158980369568,0.23726347088813782,0.0
3,0.1394123136997223,0.6499260067939758,0.7343173623085022,0.35007402300834656,0.23726347088813782,0.0
3,0.24610550701618195,0.18294258415699005,0.7538945078849792,0.7687854170799255,0.1728350818157196,0.0
3,0.4947802424430847,0.40181106328964233,0.5052197575569153,0.5256907343864441,0.3853137791156769,0.0
4,0.44527944922447205,0.17760351300239563,0.23716112971305847,0.5547205805778503,0.6463161110877991,0.0
4,0.7065837979316711,0.30636271834373474,0.38869112730026245,0.4053739607334137,0.5946260690689087,0.0
4,0.7065837979316711,0.6602829694747925,0.32426270842552185,0.33971700072288513,0.07736798375844955,0.0
4,0.21108882129192352,0.7989982962608337,0.23716112971305847,0.6716130375862122,0.32838699221611023,0.0
4,0.5533695220947266,0.4466305375099182,0.5900959372520447,0.29341617226600647,0.06339053809642792,0.0
