round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-2,Servant-2,Servant-1,Servant-4,Minion-1,Servant-3
1,0.5,0.5,0.5,0.5,1.0,0.5
2,0.3576478064060211,0.5003771781921387,0.3621571362018585,0.49621081352233887,1.0,0.49962282180786133
3,0.3360295593738556,0.2576758861541748,0.34070396423339844,0.15752004086971283,1.0,0.6592960357666016
3,0.24610550701618195,0.18294258415699005,0.6078905463218689,0.2656826674938202,1.0,0.3921095132827759
3,0.24610550701618195,0.18294258415699005,0.6078905463218689,0.2656826674938202,1.0,0.3921095132827759
3,0.4743092954158783,0.38227611780166626,0.47951802611351013,0.5204819440841675,1.0,0.37275230884552
3,0.09111649543046951,0.17100650072097778,0.4795180559158325,0.5204819440841675,1.0,0.16533736884593964
4,0.46255332231521606,0.07165194302797318,0.5374466776847839,0.2632940113544464,1.0,0.06236990913748741
4,0.44527944922447205,0.39315804839134216,0.4825833737850189,0.5174166560173035,1.0,0.15691612660884857
4,0.46255332231521606,0.4099040925502777,0.5374466776847839,0.2632940113544464,1.0,0.06236990913748741
4,0.2922837734222412,0.6602829694747925,0.32426270842552185,0.33971700072288513,1.0,0.08739136904478073
4,0.44527944922447205,0.39315804839134216,0.48258334398269653,0.5174166560173035,1.0,0.35830172896385193
