round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Minion-2,Servant-3,Minion-1,Servant-4,Servant-1
1,0.0,0.5,0.5,0.5,0.5,0.5
2,0.0,0.5428602695465088,0.4571397304534912,0.3997114300727844,0.5428602695465088,0.3997114300727844
3,0.0,0.1657961905002594,0.05868414044380188,0.8355478048324585,0.16536235809326172,0.834203839302063
4,0.0,0.4324929714202881,0.1849852353334427,0.6150751113891602,0.1587352603673935,0.5675070285797119
4,0.0,0.20257148146629333,0.1849852353334427,0.6826691031455994,0.361454576253891,0.6385453939437866
4,0.0,0.20257148146629333,0.40508586168289185,0.6413726806640625,0.361454576253891,0.5949141383171082
4,0.0,0.20257148146629333,0.1849852353334427,0.6826691031455994,0.361454576253891,0.6385453939437866
4,0.0,0.11060327291488647,0.5460537075996399,0.16577143967151642,0.4539462924003601,0.6385453939437866
