round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Servant-1,Minion-2,Servant-3,Servant-4,Servant-2
1,1.0,0.5,0.5,0.5,0.5,0.5
2,1.0,0.49575212597846985,0.4995885193347931,0.4432287812232971,0.5004115104675293,0.4945699870586395
3,1.0,0.06383362412452698,0.1683824360370636,0.21834655106067657,0.17184363305568695,0.7816534638404846
3,1.0,0.06383362412452698,0.1683824360370636,0.0851815938949585,0.06469254195690155,0.8316175937652588
4,1.0,0.41127997636795044,0.19187618792057037,0.5887200236320496,0.07615475356578827,0.23646260797977448
4,1.0,0.07203104346990585,0.19187618792057037,0.5740886926651001,0.4259113669395447,0.09357167780399323
4,1.0,0.41127997636795044,0.07334022969007492,0.518381655216217,0.4259113669395447,0.48161834478378296
4,1.0,0.18888235092163086,0.07334022969007492,0.5740886926651001,0.4259113669395447,0.23646260797977448
4,1.0,0.18888235092163086,0.41599103808403015,0.518381655216217,0.4259113669395447,0.48161834478378296
