candidate,group,side,run,status,winner,target_side_win,log,compose_log,error
evil_baseline,evil_baseline,evil,1,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_001\server\VFTG.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_001\compose.log,
evil_baseline,evil_baseline,evil,2,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_002\server\BYCO.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_002\compose.log,
evil_baseline,evil_baseline,evil,3,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_003\server\STXL.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_003\compose.log,
evil_baseline,evil_baseline,evil,4,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_004\server\XPDC.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_004\compose.log,
evil_baseline,evil_baseline,evil,5,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_005\server\WFJB.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_005\compose.log,
evil_baseline,evil_baseline,evil,6,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_006\server\WGZQ.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_006\compose.log,
evil_baseline,evil_baseline,evil,7,failed,unknown,,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_007\server\TLOT.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_007\compose.log,game exceeded 5400s timeout; abandoned
evil_baseline,evil_baseline,evil,8,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_008\server\QJSV.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_008\compose.log,
evil_baseline,evil_baseline,evil,9,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_009\server\BGQQ.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_009\compose.log,
evil_baseline,evil_baseline,evil,10,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_010\server\WBWM.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_010\compose.log,
