round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Servant-4,Minion-2,Minion-1,Servant-2,Servant-3
1,0.5,0.5,0.5,0.5,0.5,0.0
2,0.3626529276371002,0.34206274151802063,0.4823080003261566,0.517691969871521,0.5179206132888794,0.0
3,0.5156511068344116,0.484348863363266,0.38852325081825256,0.5499593615531921,0.41029366850852966,0.0
4,0.5687730312347412,0.25324153900146484,0.40599676966667175,0.6035851836204529,0.4312269687652588,0.0
4,0.1278194785118103,0.7255672216415405,0.23106548190116882,0.3366662561893463,0.6633337736129761,0.0
4,0.2467862367630005,0.5729901194572449,0.40185216069221497,0.6035852432250977,0.4270099103450775,0.0
4,0.7221262454986572,0.7255672216415405,0.1855555772781372,0.2778737246990204,0.20173925161361694,0.0
4,0.568773090839386,0.5729901194572449,0.0705832690000534,0.11368453502655029,0.431226909160614,0.0
