round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Servant-4,Minion-2,Minion-1,Servant-2,Servant-3
1,0.0,0.5,0.5,0.5,0.5,0.5
2,0.0,0.43815574049949646,0.4823080003261566,0.5043099522590637,0.504538893699646,0.4956900179386139
3,0.0,0.8160049319267273,0.1839950978755951,0.8442265391349792,0.07604409009218216,0.07594969123601913
4,0.0,0.46845078468322754,0.3718896806240082,0.5315492749214172,0.6909471154212952,0.14060460031032562
4,0.0,0.16632160544395447,0.28678181767463684,0.4044524133205414,0.6633337736129761,0.595547616481781
4,0.0,0.7255672216415405,0.23106548190116882,0.3366662561893463,0.6633337736129761,0.19943150877952576
4,0.0,0.6422860622406006,0.23106548190116882,0.14469891786575317,0.5722994208335876,0.42770057916641235
4,0.0,0.6422860622406006,0.09104704111814499,0.3366662561893463,0.5722994208335876,0.42770057916641235
