round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Servant-4,Servant-1,Minion-2,Minion-1,Servant-3
1,0.5,0.5,0.5,1.0,0.5,0.5
2,0.3678424060344696,0.49575212597846985,0.5004115104675293,1.0,0.4945699870586395,0.4995885193347931
3,0.4830102026462555,0.5169897079467773,0.06608651578426361,1.0,0.06419592350721359,0.0659375935792923
4,0.5804885029792786,0.08765097707509995,0.41951146721839905,1.0,0.41042575240135193,0.18728819489479065
4,0.5804885029792786,0.08765097707509995,0.41951146721839905,1.0,0.41042575240135193,0.07133637368679047
4,0.5362948775291443,0.4637051522731781,0.41951146721839905,1.0,0.18834225833415985,0.40875470638275146
4,0.27824634313583374,0.5556880831718445,0.21789835393428802,1.0,0.2115875482559204,0.44431188702583313
4,0.27824634313583374,0.5556880831718445,0.21789835393428802,1.0,0.08211172372102737,0.44431188702583313
