round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Minion-2,Servant-3,Servant-1,Servant-4,Minion-1
1,0.0,0.5,0.5,0.5,0.5,0.5
2,0.0,0.4664572477340698,0.5042479038238525,0.5038363933563232,0.49498140811920166,0.496163547039032
3,0.0,0.591864824295044,0.4081351161003113,0.8312990069389343,0.1815251111984253,0.3994331359863281
4,0.0,0.35977035760879517,0.22176618874073029,0.713141918182373,0.2575896680355072,0.6402295827865601
4,0.0,0.61826092004776,0.16942112147808075,0.5730372667312622,0.4269627332687378,0.19264033436775208
4,0.0,0.1797293871641159,0.8202705979347229,0.153670072555542,0.8474903106689453,0.11502259969711304
4,0.0,0.546842098236084,0.6473678350448608,0.453157901763916,0.38173907995224,0.37232592701911926
4,0.0,0.1525096893310547,0.4509410560131073,0.6203709244728088,0.5490589737892151,0.09645035117864609
