round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Servant-3,Servant-1,Minion-2,Servant-4,Servant-2
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.36113739013671875,0.3656656742095947,0.504930853843689,0.49506914615631104,0.0,0.5087193846702576
3,0.1868281364440918,0.726987898349762,0.747406005859375,0.27301204204559326,0.0,0.18534886837005615
3,0.25183579325675964,0.726987898349762,0.3517688512802124,0.35491907596588135,0.0,0.6450809836387634
3,0.07113621383905411,0.5943332314491272,0.2702842354774475,0.6227239966392517,0.0,0.4056667983531952
3,0.07113621383905411,0.5943332314491272,0.6194794178009033,0.27301204204559326,0.0,0.4056667983531952
3,0.07113621383905411,0.5943332314491272,0.6194794178009033,0.11125294864177704,0.0,0.4056667983531952
4,0.06411987543106079,0.5877509117126465,0.6051422357559204,0.09574040025472641,0.0,0.41224902868270874
4,0.08898776024580002,0.7362077236175537,0.33812201023101807,0.3116990029811859,0.0,0.6618780493736267
4,0.08898776024580002,0.7589375972747803,0.14550668001174927,0.3116990029811859,0.0,0.6883009672164917
