round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Servant-3,Servant-2,Servant-4,Minion-2,Servant-1
1,1.0,0.5,0.5,0.5,0.5,0.5
2,1.0,0.5004115104675293,0.4995884597301483,0.27949878573417664,0.39592891931533813,0.3947984576225281
3,1.0,0.16916702687740326,0.1691644787788391,0.47601068019866943,0.2483367621898651,0.5239892601966858
3,1.0,0.2500034272670746,0.6469511389732361,0.33143651485443115,0.3510209619998932,0.3530488908290863
3,1.0,0.16916702687740326,0.3791993260383606,0.23242951929569244,0.0992027223110199,0.6208006739616394
3,1.0,0.06355682015419006,0.3791993260383606,0.09168308228254318,0.0992027223110199,0.6208006739616394
3,1.0,0.37920358777046204,0.3791993260383606,0.09168308228254318,0.2483367621898651,0.6207963824272156
4,1.0,0.007260764483362436,0.0071891131810843945,0.010339208878576756,0.8003674149513245,0.19963257014751434
4,1.0,0.0024320269003510475,0.0024079116992652416,0.0034703235141932964,0.5719912648200989,0.4280087351799011
