round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Servant-2,Minion-1,Servant-3,Minion-2,Servant-4
1,0.0,0.5,0.5,0.5,0.5,0.5
2,0.0,0.49165770411491394,0.3579944968223572,0.5037891864776611,0.49658799171447754,0.5034120082855225
3,0.0,0.9104217290878296,0.32545971870422363,0.24961023032665253,0.6745403409004211,0.25001734495162964
3,0.0,0.9104217290878296,0.13854768872261047,0.09981294721364975,0.8614522814750671,0.10000832378864288
3,0.0,0.9104217290878296,0.13854768872261047,0.09981294721364975,0.8614522814750671,0.10000832378864288
3,0.0,0.8306164145469666,0.1387961208820343,0.7496098279953003,0.2503901720046997,0.10019568353891373
4,0.0,0.9185481071472168,0.9283140897750854,0.05801268666982651,0.07927032560110092,0.08145193010568619
4,0.0,0.5561513304710388,0.5899724364280701,0.05801268666982651,0.20526772737503052,0.44384869933128357
4,0.0,0.6433894038200378,0.32415086030960083,0.4098588526248932,0.24450565874576569,0.5901411771774292
4,0.0,0.9185481071472168,0.9283140897750854,0.05801268666982651,0.07927032560110092,0.08145193010568619
