round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Servant-3,Minion-2,Servant-1,Servant-4,Minion-1
1,0.0,0.5,0.5,0.5,0.5,0.5
2,0.0,0.47335001826286316,0.5034198760986328,0.4416857957839966,0.5781536102294922,0.4965801239013672
2,0.0,0.5741403698921204,0.425859659910202,0.2811928987503052,0.4006612300872803,0.5967124104499817
2,0.0,0.6302028298377991,0.3308752179145813,0.3697971701622009,0.3082793354988098,0.651606559753418
3,0.0,0.09052252769470215,0.355289489030838,0.09598208218812943,0.7372344732284546,0.6447105407714844
3,0.0,0.1618625819683075,0.62310391664505,0.06425623595714569,0.6072519421577454,0.392748087644577
3,0.0,0.4725160300731659,0.355289489030838,0.09598208218812943,0.6331657767295837,0.5274839997291565
3,0.0,0.6191216111183167,0.38087841868400574,0.6342296600341797,0.36521732807159424,0.11034934967756271
3,0.0,0.2380870133638382,0.3657703399658203,0.6342296600341797,0.7372344732284546,0.10416673123836517
4,0.0,0.0032505656126886606,0.99664705991745,0.00421917112544179,0.00401980010792613,0.9957808256149292
